순위,제목,아이디,종류,URL,장르,방영일,회차,채널,연령등급,제작국가,제작연도,줄거리,리뷰,배우,오리지널,개봉일,러닝타임,개봉예정일,원제,방영예정일
17,아마추어,138657,영화,https://m.kinolights.com/title/138657,"액션, 스릴러",,,,12세 이상 관람가,미국,2025년,"어느 날, 사랑하는 아내가 살해당했다. 내가 소속된 CIA는 침묵했고 진실은 묻혔다. 나는 프로 킬러도, 현장 요원도 아니다. 암호를 풀던 내가 이제는 복수를 설계한다. 놈들을 반드시 찾아내서 똑같이 갚아줄 것이다. 컴퓨터나 두들기는 범생이 총 한 발 못 쏘는 ‘아마추...","생각보다 허술하고 그 허술함이 나름 코믹 구간이었음 ㅎㅎㅎ 총소리 너무 커서 좋았어요 ㅎㅎㅎ | 애순이 보다 못한게 복수 한다는 꼬라지하고는 쯧쯧 | ‘작은 고추’ 라미의 활약이 돋보이는 흔한 첩보물 | 프로같은 차별화된 추적 복수 서사, 아마추어 같은 치밀함 부족한 전개 | 마지막이 싱겁지만 볼만했다 | 스스로 핸디캡을 주고 시작하는 게, 그러면서 스스로 클리셰로 향하는 게 요즘 할리우드 액션 트랜드인가? | 공대 출신이 예체능으로 전과하기 위한 고군분투라고 생각했는데 피지컬의 단점을 덮을 만큼 기술의 장점을 극대화 시켜서 꽤 나쁘지 않은 사투를 벌인다 | 첩보 영화 팬이면 충분히 볼만한 영화 | 내면의 탐구는 베테랑처럼, 주연 외 캐릭터의 깊이는 아마추어처럼 | 아내의 죽음으로 인해 CIA정보분석관이 현장에 나가서 그 복수를 한다는 점이 조금 신선하긴했다. 다만, 현장요원이 아니다보니 답답한 장면들도 좀 있는점은 감안해야 했던 것 같다.","라미 말렉, 로렌스 피시번, 레이첼 브로스나한, 케이트리오나 발피, 존 번설, 마이클 스털버그, 홀트 맥칼라니, 줄리안 니콜슨, 에반 밀턴, 닉 밀스, 티파니 그레이, 아드리안 마티네즈, 케이트 섬터, 데이비드 밀스, 조셉 밀슨, 아니타 아난드",,2025년 04월 09일 개봉,123분,,The Amateur,
18,미션 임파서블: 데드 레코닝,82856,영화,https://m.kinolights.com/title/82856,"액션, 스릴러, 어드벤처",,,,15세 이상 관람가,미국,2023년,"모든 인류를 위협할 새로운 무기를 추적하게 된 에단 헌트와 IMF팀은 이 무기가 인류의 미래를 통제할 수 있다는 사실을 알게 된다. 전 세계가 위태로운 상황에 처한 가운데, 이를 추적하던 에단 헌트에게 어둠의 세력까지 접근하고 마침내 미스터리하고 강력한 빌런과 마주하게...","시리즈가 계속되는 데는 이유가 있다. | 역시 톰크루즈는 톰이다 2편의 프리퀄 느낌이 강하지만 이건 톰크루즈만 할 수 있다 | 톰 크루즈라 가능한 시리즈이지만 그레이스를 부각시키려고 일사 캐릭터를 소모적으로 쓴 건 아쉬움. 톰크루즈씨 제발 자연사 해주세요. 위험한 스턴트는 이제 그만해도 될것 같아요 | 시간 가는줄 모르고 재밌게 봤습니다 | 러닝타임이 긴데도 늘어지는 부분 하나도 없이 액션 스릴로 꽉꽉 채워주심. 탐크루즈는 영화 하나 찍을 때마다 공로상 줘야합니다 여러분! | 익숙한 맛이 좋지만 영화가 늘어지는 감이 느껴져서 아쉬웠다 | 러닝타임에 대한 집착을 조금만 버렸더라면. | 기대가 컸거나, 지쳤거나, 실망했거나 | 이단 헌트는 이제 은퇴해도 될 듯 해요^^ | 충분히 재밌었지만 파트2로 너무 많을걸 떠넘기는건 아닌가하는 걱정","톰 크루즈, 헤일리 앳웰, 빙 라메스, 사이먼 페그, 레베카 퍼거슨, 바네사 커비, 폼 클레멘티에프, 에사이 모랄레스, 헨리 제니, 쉐어 위햄, 마리엘라 게리가, 그렉 타잔 데이비스, 찰스 파넬, 롭 딜레이니, 인디라 바르마, 마크 게티스",,2023년 07월 12일 개봉,163분,,Mission: Impossible - Dead Reckoning,
19,극장판 진격의 거인 완결편 더 라스트 어택,140481,"영화, 애니메이션",https://m.kinolights.com/title/140481,"액션, 애니메이션",,,,15세 이상 관람가,일본,2024년,"거인의 위협으로부터 몸을 지키기 위해 거대한 벽을 쌓고 그 안에서 숨을 죽이고 살고 있는 인류. 백 년의 평화는 초대형 거인의 습격으로 파괴됐고, 어머니를 잃은 소년 엘런 예거는 모든 거인을 없앨 것을 맹세하고 거인과 싸우는 조사병단의 일원이 되었다. 글자 그대로 목숨...","생각보다 깊이가 있는 애니메이션이어서 놀랐고, 최종편에 맞는 대규모 전투가 피날레를 잘 장식해준 것 같음 | 자유를 해방하기 위해 증오의 고리를 끊자. 시간의 바람을 만나 8의 형태로 다시 꼬일지라도. | 10년에 여정을 함축해서 담은 보물창고 같은 영화!! | 싸우는 장면만 보고 싶다. | 어릴 때 1기 보다가 영화 개봉 했다기에 요약보고 봐서 그 감정선을 온전하게 못 느끼니, 액션만 남은 이상한 애니메이션으로 느껴졌다. | 10년간의 대장정을 함께 해준 고마운 팬들에게 보내는 러브레터 | G.O.A.T | 역대 최고의 J-애니메이션 시리즈, 그 마지막을 장식하는 화려하고 장중한 마침표! | 극장에서 마지막을 볼 수 있어서 좋았던 영화 | 몰아치는 140분, 인류의 역사에 남을 애니메이션","카지 유우키, 이시카와 유이, 이노우에 마리나, 카미야 히로시, 시마무라 유우, 박로미, 시모노 히로, 타니야마 키쇼, 코바야시 유우, 와타나베 아케노, 모가미 츠구오, 오노 켄쇼, 타나카 마사히코, 타카하시 켄지, 미우라 치유키, 카츠 안리",,2025년 03월 13일 개봉,144분,,劇場版「進撃の巨人」完結編 THE LAST ATTACK,
20,알라딘,70069,영화,https://m.kinolights.com/title/70069,"판타지, 어드벤처, 뮤지컬, 멜로/로맨스",,,,전체 관람가,미국,2019년,"줄거리 : 아그라바 왕국의 좀도둑 알라딘은 마법사 자파의 의뢰로 마법 램프를 찾으러 간다. 마법 램프를 찾은 알라딘은 지니를 만나고 자스민 공주의 마음을 얻기 위해 소원을 빌기 시작한다.

1분 정보 : 1992년에 개봉한 디즈니 애니메이션 알라딘을 원작으로 하는 ...","너무 재미있게 봤던 알라딘! 영상미도 훌륭하고 배우들연기 갓벽하고 음악들도 너무 좋았다 더군다나 지니는 진짜완벽했다👍 | 영화 <알라딘>을 봤다. 처음봤을때, 외국인 관크를 당해서 본건지 안본건지 싶었으나 물리적인 시간정황상 봤기 때문에 할말이 없구나 하고 자파가 제일 잘생겼고, 앵무새 이아고가 제일... | 캐스팅 좋고~ 노래도 좋지만~ 제발 원작을 비트는 건 적당히 해줘! | 지금까지도 잊혀지지 않는 ost들..!! 한때 인생작이었던 만큼 명작입니다 | 실사화를 정말 잘했다고 생각하는 작품... | 어떻게 이렇게 캐스팅을 잘해...? 지금과 비교되는 재미와 완성도 캐스팅.. | 한줄평 - 싱잉랩도 잘하는 윌 스미스 | 디즈니 고전 애니메이션의 실사는 항상 원작에서 따온 부분과 그렇지 않은 부분의 위화감이 문제가 된다. 알라딘도 그런 면에서 피해갈 순 없었지만 그래도 윌 스미스의 지니와 나오미 스... | 시대가흘러도여전히다시고픈영화 | 디즈니 실사판의 진수 음악이 계속 남는다","메나 마수드, 윌 스미스, 나오미 스콧, 마르완 켄자리, 네이비드 네가반, 나심 페드라드, 너맨 아카, 빌리 매그너슨, 조던 A. 내쉬, 오브리 린, 아미르 보르토스, 스테판 칼리파, 니나 와디아, 알란 터딕, 프랭크 웰커",,"2022년 09월 07일 재개봉
2019년 05월 23일 개봉",128분,,Aladdin,
21,진격의 거인 The Final Season 완결편 (전편),104770,애니메이션,https://m.kinolights.com/title/104770,액션,2023년 03월 04일,1부작,"애니맥스, 애니플러스, NHK G",19세 이상 시청가,일본,2023년,그 거인은 언제 어떤 시대에도 자유를 갈망하며 나아갔다. 자유를 위해 싸웠다. 그 이름은 진격의 거인'. 드디어 밝혀진 벽 밖의 진실과 거인의 정체. 이곳에 이르기까지 인류는 너무나도 큰 희생을 치렀다. 그럼에도 그들은 계속 나아가야만 한다. 벽 밖에 있는 자유의 상징...,"이 시대에 태어난 이유는 진격의 거인을 보기 위해서였다. | 마지막을 향한 땅울림 | 진짜 연출이 지리는데 | 끝을 향해 달려가는 진격의 거인. | 멸망을 초래할 재앙의 공포 속에서 일치해가는 후회와 죄책감, 잔혹한 세계 속에서 찾고 싶은 희망 | 떡밥회수의 교과서. 진행하면서 생각하는게 아니라 구상을 다 마치고 시작한다는게 쉽지 않았을텐데. 정말 굉장합니다 | 스토리 늘어지는 느낌은 있긴하나 전반적으로는 재미가 있고 마지막 액션작화는 좋다 | 원작 결말도 너무 좋았지만 비판들 때문에 수정한 애니판의 결말도 너무 훌륭했던 최고의 애니라 생각합니다. | 진격의 거인 The Final Season 완결편 (전편) 더빙 | 진짜 개슬푸다ㅜㅜㅜ 에렌죽지마ㅜ ㅈㅂㅈㅂ 진짜 하ㅜ 개에바임 어쩔수없긴해ㅜㅜ","카지 유우키, 이시카와 유이, 이노우에 마리나, 타니야마 키쇼, 카미야 히로시, 박로미, 시모노 히로, 코바야시 유우, 와타나베 아케노, 모가미 츠구오, 오노 켄쇼, 타나카 마사히코, 타카하시 켄지, 미우라 치유키, 카츠 안리, 츠치다 히로시",,,,,進しん撃げきの巨きょ人じん ザファイナル シーズン,
22,미션 임파서블,20680,영화,https://m.kinolights.com/title/20680,"액션, 스릴러, 어드벤처",,,,15세 이상 관람가,미국,1996년,동유럽 첩보원들의 비밀 명단을 훔쳐 무기상에 팔아 넘기려는 음모를 막기 위해 짐 펠프스가 이끄는 CIA 최고의 팀 미션 임파서블이 투입된다. 그러나 대사관 파티에 잠입하여 동료들과 함께 작전을 수행하던 중 팀의 리더였던 이단 헌트만이 구사일생으로 혼자 살아 남는다. 곧...,"시간 가는줄 모르고 재밌게 봤습니다 | 스파이 액션물로 톰 크루즈가 너무나 이단 헌트여서 진짜 좋았음 30년이 다 되도록 시리즈로 이어나간 톰 크루즈의 저력 | 역사의 시작 | 시리즈의 완벽한시작. 어쩌면 1편만큼 완벽한 미션임파서블 시리즈는 없지않을까. 스릴이란걸 이토록 쉽게느끼게 해주다니 ㄷㄷ 다시봐도 너무 재밌다 | 이 영화를 극장에서 못 본 것은 정말 한이 될 것 같다 | 시리즈가 왜 오랜 시간 사랑받는지 왜 톰 크루즈가 '이단 헌트' 인지를 보여준다. | 스파이 영화의 한 획을 긋게된 전설의 시작 | 빰빰 빠밤 빰빰 빰밥 | 스토리도 엄청 매력 있고 3파전의 양상도 맘에 든다. 액션도 1996년을 감안하면 완벽하고, 천장으로부터 방에 잠입하는 장면은 2024년에 봐도 이질감 하나 없이 긴장감 최고다. | 전설의 시작","톰 크루즈, 존 보이트, 엠마누엘 베아르, 헨리 제니, 장 르노, 빙 라메스, 크리스틴 스콧 토마스, 바네사 레드그레이브, 잉게보르가 다프쿠나이트, 안드레아스 위스니에우스키, 카렐 도브리, 리코 로스, 애나벨 멀리언, 헬렌 린제이, 팻 스타, 마르첼 유레스",,1996년 06월 15일 개봉,110분,,Mission Impossible,
23,약한영웅 Class 1,114811,드라마,https://m.kinolights.com/title/114811,"액션, 스릴러, 서사/드라마",2022년 11월 18일,8부작,"웨이브, 채널S",19세 이상 시청가,한국,2022년,"상위 1% 모범생 연시은이 처음으로 친구가 된 수호, 범석과 함께 수많은 폭력에 맞서나가는 과정을 그린 약한 소년의 강한 액션 성장 드라마","빠른 템포와 전개, 시원시원한 액션, 훌륭한 연기. 웨이브서 졸잼 작품 물어보면 무조건 이거 말할듯 | 아직 안본 사람들 어서 보시오. | 웹툰이랑 드라마를 잘 안봐서 정말 정보 1도 없이, 기대 1도 없이 봤다가 매우 재미있게 몰입해서 본 작품. 배우들도 전부 처음보았는데.. 입덕해버림. | 힘은 과시가 아니라, 지키기 위한것이라는 이야기 | 액션도 좋고 좀 막장스럽지만 뒷이야기를 궁금하게 만드는 매력이 있음. 현대판 말죽거리 잔혹사를 보는 듯하다. 클래스1 이라는 건 2나 3도 있다는 거겠지? 기대된다. | 몇회차씩 다시 정주행해도 좋은 작품 | 8화가 시즌2를 간절히 바라게 만들고! 캐릭터들의 감정변화들을 보는게 마음 아프기도 했고 그 상황들이 하나같이 모두 이해가 되서 눈물 한바가지 흘리게 만들어요.. | 매운맛 학원물 | 약한영웅 Class 1 스페셜 시사회 후기 | WAVE 가입해서 시청 필수","박지훈, 최현욱, 홍경, 신승호, 이연, 나철, 김수겸, 차우민, 윤정훈, 황성빈, 천명우, 차성제, 염지영, 김성균, 공현주, 조한철",웨이브,,,,,
24,대환장 기안장,134969,예능,https://m.kinolights.com/title/134969,"버라이어티, 리얼리티",2025년 04월 08일,9부작,넷플릭스,12세 이상 시청가,한국,2024년,기안84가 울릉도에서 청춘을 위해 기상천외(!)한 민박을 차리고 운영하는 신개념 민박 버라이어티,"생각없이 보기 좋음 ㅋㅋ | 특이하긴 함 킬링 타임으로 가족끼리 보기 나쁘지 않음 엥??? 하면서 보고 있음 | 저는 너무 잼있게 보고 있어요~ 간만에 참신한 예능인거 같아요. 진님 예은님도 여기에 너무 잘 어울리는거 같아요. | 진 없었으면 큰일 날 뻔.. | 기안84의 날것의 맛이 처음엔 너무 자극적이었으나 이젠 익숙해져서 이제는 오히려 답답하고 단순하고 식상하다 ㅠ ㅠ짜증도 나고... ㅠ | 기안 과 연결해 상당한 상상력으로 재미를 준다 볼만하다 | ㅋㄲㅋㅋㅋ 기안스럽다 | 괴랄한데 그게 너무 기안스러움. 진은 너무 바르고, 예은 귀엽고! | 기안이 기안함 | 역시 기안ㅋㅋㅋㅋㅋ","김희민, 진, 지예은",,,,,,
25,베러 맨,141533,영화,https://m.kinolights.com/title/141533,"판타지, 서사/드라마",,,,15세 이상 관람가,"영국, 미국, 캐나다, 프랑스, 호주",2024년,"어릴 때부터 노래에 남다른 재능을 보인 로비는 보이밴드 테이크 댓으로 데뷔해 영국 전역에서 최고의 인기를 누린다. 하지만 인기가 커질수록 각종 사건사고로 멤버들과 갈등을 빚고 결국 팀을 탈퇴한다. 화려한 솔로 복귀에 성공하지만, 내면의 상처와 불안은 점점 커져만 간다....","로비 윌리암스 일기 재미있었습니다 처음과 끝 둘다 불태우자!! | 더 좋은 영화가 될 수 있었기에 그저 화려한 연출만 아깝다. | 위대한 쇼맨이나 보레이안 랩소디 같은 영화를 기대했다면, 그렇지 않다 생각보다는 괜찮았고 기대보다는 못미친 영화 만약 침팬지가 아니었더라면 더 좋았을 영화 | 화려한 외관에 텅 비다 못해 부서진 대저택이 로비를 상징한다. 걱정거리 없어 보이는 잘나가는 스타도 자기혐오를 한다는 건 알겠는데 영화 내내 너무 그 이야기만 해서 지친다 | 신파와 음악으로 얼렁뚱땅 모면하는 2시간이 내내 괴롭다. (+ 250403 CGV 회원시사회) | 배러맨후기(융융이나눔) | 나쁘지 않은 실험정신을 모두 덮어버린 기본적인 역량의 부재 | 꽤 나댔던 시끄러운 인생인건 알겠는데 전기영화는 쫌 | 자아도취적 자기혐오를 지나 자기 구원에 이르러서야 한 단계 진화한 나를 만난다. | 무엇이 스타를 만드는가? 스타는 무엇으로 완성되는가?","로비 윌리엄스, 존노 데이비스, 스티브 펨버튼, 앨리슨 스테드먼, 케이트 물바니, 프레이저 해드필드, 데이몬 헤리맨, 레셸 바노, 톰 버짓",,2025년 04월 09일 개봉,135분,,Better Man,
26,독수리 5형제를 부탁해!,138325,드라마,https://m.kinolights.com/title/138325,"코미디, 멜로/로맨스, 서사/드라마",2025년 02월 01일,50부작,KBS 2TV,15세 이상 시청가,한국,2024년,오랜 전통의 양조장 독수리술도가의 개성 만점 5형제와 결혼 열흘 만에 남편의 갑작스러운 죽음으로 졸지에 가장이 된 맏형수가 빚어내는 잘 익은 가족 이야기를 그린 드라마,,"윤박, 엄지원, 김동완, 안재욱, 최대철, 최병모, 박준금, 배해선, 김준배, 박효주, 유인영, 윤준원, 김승윤, 신슬기, 이명호, 김동완",,,,,,
27,대가족,137001,영화,https://m.kinolights.com/title/137001,서사/드라마,,,,12세 이상 관람가,한국,2023년,스님이 된 아들 때문에 대가 끊긴 만두 맛집 평만옥 사장에게 세상 본 적 없던 귀여운 손주들이 찾아오면서 생각지도 못한 기막힌 동거 생활을 하게 되는 이야기.,"뻔하지만 소소하게 웃김 가족은 만두다 | 공짜로 봤는데도 시간 아까움. 이런걸 웃으라고 만들었나 싶음 | 철가방으로 나오는 사람.. 분장이 너무 오바다.. 의도는 알겠는데, 오바야.. | 따뜻하지만 뻔한 클리세 | 이것저것 한데 모아 '가족'이라는 만두피로 봉합 | 진지하게 영화판 떠나시는게..... 감독님 감 다 떨어지셨네요. | 가족을 위해 자본주의에 맞서던 아버지의 만두를 나는 기억합니다. | 따스하고 훈훈한 엔딩이 참 첫눈 같다! 흥행과 평가가 열연이 아쉬운 영화! 🥹 | 따끈따끈한 만두에서 느껴지는 온정과 따뜻함 | 관객들 거의 빵빵 터졌던 만큼 너무 재밌게 봤어요 슬픈 부분도 있고 마음 따뜻해지는 영화예요","김윤석, 이승기, 김성령, 강한나, 박수영, 김시우, 윤채나, 서범준, 이송경, 이재용, 최무성, 황정민, 심희섭, 길해연, 이순재",,2024년 12월 11일 개봉,106분,,,
28,이혼보험,136125,드라마,https://m.kinolights.com/title/136125,"코미디, 멜로/로맨스, 서사/드라마",2025년 03월 31일,12부작,tvN,15세 이상 시청가,한국,2024년,"최고의 브레인만 모여있다는 한 보험회사 혁신상품개발팀에서 새로운 이혼 보험 상품을 개발, 이혼과 관련된 모든 사항을 수치화하고 그에 합당한 보험금을 책정하는 등 이혼에 값을 매기는 적나라한 과정을 담은 드라마","참 소토리도엉성해 배우연기도별로 뭐하나 맞는가ㅚ없음 시간아까움 | 재미없는 예능의 맛 | 보다가 잠이 솔솔…….. 대본리딩영상은 이런 느낌이 아니었는데…… | 이동욱, 이광수 예능 드라마 | 남여주 로코같이 붙을때가 재밌지만 이원석은 드라마하기에 과하게 B급병맛..","이동욱, 이주빈, 이광수, 이다희, 추소정, 유현수, 김원해, 남창희, 백현주, 조재윤, 조보아, 박영규",,,,,,
29,너의 췌장을 먹고 싶어,570,영화,https://m.kinolights.com/title/570,"멜로/로맨스, 서사/드라마",,,,12세 이상 관람가,일본,2017년,"스스로를 외톨이로 만드는 나. 학교 최고의 인기인 그녀. 어느 날, 우연히 주운 [공병문고]를 통해 나는 그녀와 비밀을 공유하게 되었다. 네가 건넨 영원히 잊지 못할 고백. 그때 나는 그 말의 의미를 알지 못했다.","괴랄스런 제목만큼 강한 울림 | 기묘하게만 느껴지던 한 문장이, 점차 사랑의 모든 감정을 꾹꾹 눌러 담은 문장으로 변하며, 마음속에 아련함 가득한 봄 벚나무를 피워내다. | 삶에 대한 희망을 담아 친구와 연인에게 보내는 라스트 러브레터 | 선택과 선택이 모여 만남이 된다. | 애니 보고 바로 봤는데 첫부분엔 조금 상황설명이 부족한거같았는데 후반부로 갈 수록 먹먹해짐이 ㅠㅠ 슬픔... 강력추천... | 일본 감성이 맞는다면 참 귀엽고 애틋하고 슬픈 영화. 끝날 즈음에 다들 코를 훌쩍이시더라구요. 너무 좋았어요 | 흔한 말로도 충분히 표현할 수 있을 것 같은데? | 제목에 흠칫했는데, 내 눈물을 훔쳐감. 잔잔한 수면 뒤로 파도가 밀려오는 로맨스 | 사쿠라(여주)가 사쿠라(벚꽃)를 보고 싶다고 했을때 남주와 나는 똑같은 감정을 느꼈을 것이다. 내 눈에서 무언가 흘러 내릴것을 우린 알아버렸다. 응어러진 가슴 한켠이 무너졌다. | 방심하고 있다가 무심코 울컥하게 만드는, 이제 슬슬 봄이오니 다시 봐야겠다","하마베 미나미, 키타무라 타쿠미, 키타가와 케이코, 오구리 슌, 오오토모 카렌, 사쿠라다 도리, 야모토 유마, 카미지 유스케, 나카타 케이스케, 모리시타 다이치, 나가노 사토미",,"2025년 04월 09일 재개봉
2017년 10월 25일 개봉",115분,,君の膵臓をたべたい,
30,굿데이,139654,예능,https://m.kinolights.com/title/139654,리얼리티,2025년 02월 16일,,MBC,15세 이상 시청가,한국,2024년,지드래곤이 다양한 분야의 인물들과 함께 올해의 노래를 완성하는 음악 프로젝트 프로그램,"예능에서 보기 힘든 지디 김수현 ...오~ 다같이 어떤 음악을 만들지 부를지 오랜만에 기대가되는 예능이네요 넘 재미나네요 다음주 기대기대 | 너무 많이 웃었네요!!! 지디-도니-데프톤의 조합은 역시나 좋고, 지디-김수현의 이외의 조합도 좋아요.. 다음주도 기대하고 있습니다~~~~ | 김수현 배우님 나와서 넘 좋더라고요 지디와 함께 재밌는 예능 음악 만들어 지길요 | 김수현의 매력이 돋보인다 | 첫화부터 빵빵터지네요 광희 성대모사하는 김수현 ㅋㅋㅋ 완전 똑같네 88솔로나라도 너무 기대합니다 😆 #김수현 #굿데이 | 감다뒤 김태호 피디 김수현 논란 이전부터 개노잼이셨어요 | 지드래곤의 굿데이가 매년 계속되기를 :) 그리고 권지용의 좋은 날도! | 노잼 | 예능에 배우 김수현의 발견이랄까 노래도 잘하고 예능도 너무 재밌게 잘한다 리액션도 너무 좋고 보는내내 기분좋아짐 | 노잼이다 그냥 자기 지인들 만나서 떠드는 프로 감동도 재미도 없음. 코드쿤스트 웃음이 너무 거슬림 ㅋㅋ","권지용, 정형돈, 데프콘, 코드 쿤스트, 조세호, 김수현, 김희민, 황광희, 정해인, 임시완, 이수혁, 황정민",,,,,,
31,신데렐라 게임,138327,드라마,https://m.kinolights.com/title/138327,"스릴러, 미스터리, 멜로/로맨스, 서사/드라마, 범죄",2024년 12월 02일,101부작,KBS 2TV,15세 이상 시청가,한국,2024년,"원수에 의해 가짜 딸로 이용당해 복수의 화신이 된 여자가 진정한 복수의 의미를 깨달으며 성장, 치유하는 이야기를 그린 드라마",,"한그루, 박리원, 권도형, 최민, 나영희, 지수원, 김혜옥, 최종환, 박창훈, 김건우, 김지성, 신연우, 박리원, 유하연, 최종환, 진혜원",,,,,,
