순위,제목,아이디,종류,URL,장르,방영일,회차,채널,연령등급,제작국가,제작연도,줄거리,리뷰,배우,오리지널,개봉일,러닝타임,개봉예정일,원제,방영예정일
32,임영웅│아임 히어로 더 스타디움,135988,"영화, 공연",https://m.kinolights.com/title/135988,,,,,전체 관람가,한국,2024년,"“영웅시대가 저와 별의 이야기를 함께 써 내려가고 있다고 생각해요” 2024년 5월, 서울월드컵경기장에서 양일 10만 명의 관객을 동원하며 콘서트 안팎으로 폭발적인 화제를 일으켰던 임영웅의 콘서트를 극장에서 다시 만난다. 무대 위 압도적인 가창력과 다채로운 퍼포먼스, ...",팬들을 생각하는 마음이 진심이라는걸 다시 한번 느끼고 감동 받았어요~ 지금도 좋은 점이 차고 넘치는데 더 좋아졌어요. 앞으로도 좋은 공연 기대하며 응원합니다!!!^ | 이름처럼 산다. 엄마의 청춘을 알아주는 임영웅이 너무좋더라 진정한 히어로 | 영화관내 모든 연령의 엄마들을 소녀로 만들어주는 영화 진짜 영웅 히어로였다 | 임영웅 아임히어로더스타디움 공연 영화는 팬들을 향한 진심과 아티스트 로써 전심을 합해 감동과 전률을 느끼게 해준다. 눈과 귀가 즐겁고 가슴을 울리는 영화 | 임영웅 최고입니다 .... 영화 다시 보겠습니다 | 임영웅의 노력과 진심이 느껴졌다 | 팬들을 사랑하는 마음이 진심이라는 마음이 느껴지고 영화를 보고 감동을 받았어요. | 임영웅은역시임영웅이라는걸영화보며다시한번확인~ 라이브실력영상미그리고멋진아티스트준비과정 모든게퍼팩트 | 최고의영상ㆍ감동입니다 | 명품가수 임영웅의 아임 히어로 더스타디움은 볼때마다 행복하고 볼때마다 놀라움이네요 하나하나 섬세하지만 철저한 준비로 행복을주려 노력한 모습에 또 반합니다 모든날 모든순간 사랑합니다,임영웅,,2024년 08월 28일 개봉,109분,,,
33,내가 죽기 일주일 전,128789,드라마,https://m.kinolights.com/title/128789,"판타지, 멜로/로맨스, 서사/드라마",2025년 04월 03일,6부작,티빙,15세 이상 시청가,한국,2025년,"좀처럼 삶에 대한 기대와 의지를 찾기 힘든 스물넷의 희완. 그녀 앞에 첫사랑 람우가 무려 6년 만에 나타났다. 그것도, 저승사자가 되어서. 게다가 람우는 희완의 죽음을 예고하며 그녀에게 남은 일주일 동안 함께 버킷리스트를 실행해 보자고 제안한다. 그렇게 일주일간의 동행...","배우들이 너무 사랑스럽고 람우와 희완이가 너무 아름다워요.. 그런데 너무 슬프고 아파요. | 원작 책 내용을 재밌게 잘 구현했다. 후반부로 갈수록 울음을 참지 못할 드라마같아서… 눈물나고,, 공명 김민하가 진짜 너무너무 사랑스럽다","공명, 김민하, 정건주, 오우리, 고창석, 서영희, 전준호, 정라엘, 심은경",티빙,,,,,
34,소방관,102311,영화,https://m.kinolights.com/title/102311,서사/드라마,,,,12세 이상 관람가,한국,2024년,"살리기 위해, 살아남기 위해 하루하루가 마지막 현장인 소방관 팀은 열악한 환경 속에서도 화재 진압과 전원 구조라는 단 하나의 목표로 의기투합한다. 어느 날, 다급하게 119 신고 전화로 홍제동에 화재가 발생했다는 긴급 상황이 접수되자 팀원들은 위기를 직감하는데…","홍제동 화재사건을 과한 연기 없이 담담하게 풀어내서 더 마음이 아팠던 영화였습니다. 영화가 끝나고도 생각이 많아지네요. 이 영화가 소방관 처우 개선의 계기가 되었으면 합니다. | 너무 슬픕니다 소방관 화이팅 | 영화적 완성도가 낮음,다큐로 만들었다면 좋았을듯함. 유료관람 가치는 낮음 | 시사회로 미리 보았는데 소방관님들의 노고가 전달되는 감동적인 영화였습니다 대한민국 소방관님들 화이팅입니다!! | 영화 소방관 무대인사 시사회 후기 올립니다. | 너무 화가나고 답답하고 .. 먹먹하고 눈물이 멈추질 않았아요~ 제발 다시는 이런 일이 발생되지 않길 바랍니다. 생명을 구하기위해 본인들의 목숨을 내던지는 분들입니다 . | 억지눈물을강요하지않고 담배한 영화여서좋았다 그러니자연스럽게.영화에녹여들었고 화재장면은 cg가아닌것처럼 너무리얼해서 메이킹을보고싶게만듬. 다양성의영화가나와 좋음 | 장갑 에피소드는 진짜 있는 얘기를 찍은거 아닌가.. 행정에 진짜 분노가 끓는다. 영화 내내 어찌나 눈물이 났는지..ㅜㅜ | 시사회로 미리 보았습니다. 실화바탕이다보니 몰입감은 좋았습니다.처우가 많이 개선되었다곤 하지만 아직도 있는걸로 아는데 더 개선되길 바라고 흥하길 바랍니다. | 영화볼때 보통 팝콘 다 먹는데요... 손이 계속 팝콘이 아닌 가슴으로 가더라고요 8년만에 영화보면서 울었어요ㅠㅠ 모든 소방관님들 감사합니다.","주원, 곽도원, 유재명, 이유영, 김민재, 오대환, 이준혁, 장영남, 김한솔",,2024년 12월 04일 개봉,106분,,,
35,나 혼자만 레벨업,125161,애니메이션,https://m.kinolights.com/title/125161,판타지,2024년 01월 07일,12부작,"애니맥스, 애니플러스, TOKYO MX",19세 이상 시청가,일본,2024년,다른 차원과 이쪽 세계를 이어주는 통로인 '게이트'가 갑자기 발생한 뒤 10년. 세계에는 '헌터'라고 불리는 초인적인 힘에 각성한 사람들이 출현했다. 헌터는 게이트 안의 던전을 공략하고 대가를 받는 것을 생업으로 하고 있는데 그런 강자들만 가득한 헌터들 중 '성진우'...,"한국 웹툰으로 가장 성공적인 애니메이션 | 원작에 충실하고 작화를 갈아넣은 액션씬이 돋보인다. 한국작품 애니화될때 저퀄인 경우가 대부분이었는데 힘 많이 줬다. 캐릭터 한국어이름, 일어이름 이중녹음하는 성의도 보였다 | 성진우!! 진격의 거인이후로 잘 챙겨 보는 애니!!!!! | 이 정도면 웹툰을 애니로 적당히 잘 바꾼 듯 | 아직 방영중이지만 전개를 너무 질질 끈다... | 소설 웹툰 다 안봤는데 이거 보고 왜 안봤었을까 후회중 너무 재밌음 | 한국어 더빙 원해요?? | 에반게리온과 고질라, MMOGPG의 소재와 장점을 잘 접목해서 마치 게임을 하듯이 스토리에 녹여낸 신박함에 빠져드게 만드네요. 아주 나약한 주인공이 점차 성장하는데 기대와 궁금! | 친구 추천으로 봣는데 짱 재밋습니다…. 취저..💓 | 일본판 이름으로 창씨개명 안당하고 기무상, 바꾸상 이러는 거 보기 좋음. 대신 좀 질질 끌어서 노잼","민승우, 심규혁, 신나리, 유영, 정재헌, 반 타이토, 나카무라 겐타, 미카와 하루나, 우에다 레이나, 히라카와 다이스케, 후루카와 마코토, 신범식, 긴가 반조, 송준석, 토우치 히로키, 한복현",,,,,俺だけレベルアップな件,
36,약한영웅 Class 2,129441,드라마,https://m.kinolights.com/title/129441,"액션, 스릴러, 서사/드라마, 범죄",,8부작,넷플릭스,19세 이상 시청가,한국,2024년,친구를 위해 폭력에 맞섰으나 끝내 지키지 못한 트라우마를 안고 은장고로 전학 간 모범생 연시은이 다시는 친구를 잃을 수 없기에 더 큰 폭력과 맞서면서 벌어지는 처절한 생존기이자 찬란한 성장담을 그린 드라마.,우리들의 기대에 미칠지..,"박지훈, 려운, 최민영, 이민재, 유수빈, 배나라, 이준영, 조정석",넷플릭스,,,,,2025년 04월 25일
37,계시록,135199,영화,https://m.kinolights.com/title/135199,"판타지, 스릴러, 미스터리, 공포(호러), 범죄",,,,15세 이상 관람가,한국,2024년,신의 계시를 받았다 믿고 실종 사건의 범인을 단죄하려는 목사와 죽은 동생의 환영에 시달리면서도 끈질기게 범인을 쫓는 형사. 어두운 현실 속 각자의 믿음을 따르는 자들의 추악한 민낯이 드러난다.,"류준열은 왜 자꾸 캐스팅이 될까 | 류준열의 어색한 목사 연기가 아쉽고, 스토리의 개연성과 극을 이끌어가는 힘도 안타깝다. | 연상호에게 또 속아버려서 슬픈 나.. | 이제 그만 좀 만들어라 연상호는 넘 막 만든다 도대체 이런 시나리오, 연출에 왜 투자가 되는지 | 최악 시간아끼세요 | 살아가며 내가 믿는 것은 무엇인가? 그 믿음의 시작에 대해 말하는 작품, 올바른 믿음은 곧 나로부터 시작된다는 걸 다시금 생각해 보게 했다 | 넷플릭스가 보살인건 확실하다. | 지루하고 지루하다. 이 지루함을 극복하고 볼만한 가치가 있나? | 계시고 뭐고.. 그냥... 하..... | 성경보다 더 이해하기 힘든 전개와 연출.","류준열, 신현빈, 신민재, 문주연, 김보민, 최광일, 이세호, 한지현, 도용구, 배윤규, 우강민, 오치운",넷플릭스,2025년 03월 21일 개봉,122분,,,
38,헤레틱,137479,영화,https://m.kinolights.com/title/137479,"스릴러, 공포(호러)",,,,15세 이상 관람가,미국,2024년,"외딴 집을 찾은 신앙심 깊은 두 소녀에게 집주인은 믿음을 뒤흔드는 이야기를 꺼낸다. 무언가 의심스럽다고 느끼는 순간, 두 소녀는 꼼짝없이 집안에 갇히게 된다. 친절했던 남자는 돌변하고, 그녀들은 살기 위해 위험한 선택을 하는데...","분위기 조성과 말장난까진 좋았는데 후반부에 와르르 무너져버린다. | 종교에 대한 궁극적인 의문을 호러 스릴러 방식으로 풀어냈다. | 자신만의 신념에 갇힌 사람은 결코 자유를 찾을 수 없다. | 신념은 나를 가두는 감옥이라는 니체의 격언을 그대로 영상화하면 이런 모습일까. 휴 그랜트의 말빨 좋은 연기는 관객마저도 현혹시킨다 | 종교 논리를 구구절절 늘여놓는 미친 광기의 불쾌함 | 8.5/종교는 물론 역사와 근현대 문화까지 섭렵한 종교 마스터이자 궤변론자이자 '통제'라는 종교의 교주이자 영업 사원이 들려주는 믿음과 종교에 관한 기괴하면서도 논리적인 궤변론. | 종종 이런 부류의 사람들을 싸워서 이기기보단 그낭 마주치고 싶지 않은 마음이 더 클 뿐. | 싸이코패스의 만행으로 마무리되는 종교에 대한 서스펜스적인 접근 | 미끼를 확 물어분 것이여 | 얄팍한 지식과 고민으로 종교에 대해 불만을 토한다면, 그저 어린아이가 찡찡대는 것에 불과하다","휴 그랜트, 소피 대처, 클로에 이스트, 줄리 린 모텐슨, 엘 맥키넌, 토퍼 그레이스, 엘 영, 헤일리 한센, 네샤 베일리, 스테파니 라빈, 웬디 고링",,2025년 04월 02일 개봉,110분,,Heretic,
39,커플팰리스 2,136458,예능,https://m.kinolights.com/title/136458,"멜로/로맨스, 서바이벌, 리얼리티",2025년 02월 05일,,"Mnet, tvN",15세 이상 시청가,한국,2025년,당신이 상상한 이상형을 만날 수 있는 곳! 싱글남녀들의 웨딩 프로젝트 <커플팰리스2>,도파민에 절여진 내 뇌에는 넘 재밌 | 어느 연애 프로그램보다 참가자들이 진심인걸 느껴진다 몇분이 그냥 얼굴한번 나오자 하는분도 있지만 진심인 분들이 프로그램완성도를 높인다,"김종국, 유세윤, 이미주, 정수미, 강바다, 미란다, 맥대디",,,,,커플팰리스,
40,괜찮아 괜찮아 괜찮아!,127067,영화,https://m.kinolights.com/title/127067,코미디,,,,12세 이상 관람가,한국,2023년,"무대 위에서 가장 행복한 무한 긍정 소녀 인영과 어쩌다 한집살이하게 된 외로운 완벽주의자 예술단 마녀감독 설아, 인영과는 일방적인 라이벌 관계인 만년 1등 예술단의 센터 나리, 1일 1고백, 사랑과 우정 그 어딘가 인영의 유일한 남사친 도윤, 말 처방과 약 처방을 동시...","뻔하지만 괜찮아, 힐링되니까! | 학생의 성격은 마치 국가가 보는 학생, 현실은 무너지고 있는 경쟁 속 한 명, 이걸 국가와 개인의 시점을 나란히 대조해보며 현재 우리에게 필요한 것을 찾으려는 노력을 한다. | “괜찮지 않아도 괜찮다고 말해주는, 마음에 처방전 같은 영화.” | 이레의 꿋꿋함이 사랑스럽고 다행스럽고 마음아프고. 어른이 아이를 돕는 방식, 좋은 어른이 곁에 있다는 의미, 사춘기의 우정의 모습등을 볼 수 있어서 좋았습니다. 강추 | 긍정 에너지와 무해한 성장스토리는 괜찮아! 근데 재미는 괜찮지 않아 ㅜㅜ | 클리셰 덩어리지만 그래도 좋다. 배우 이레의 연기가 돋보인다 | 오랜만에 모든 연령층이 함께 웃고 울며 볼수있는 알짜배기 영화가 드디어 2월26일 극장개봉한다니.! 꿈.가족애.프랜드쉽.등 많은 주제가 어우러져 있어 시간 가는줄 모르고 본 영화. | 첫 장편 데뷔작임에도 불구하고 우수한 영화였다. | 약이 필요없는 웃음 행복 바이러스의 파급효과 | 무난해도, 특별하지 않아도 괜찮아","이레, 진서연, 정수빈, 이정하, 손석구",,2025년 02월 26일 개봉,102분,,,
41,어른 김장하,118042,시사/교양,https://m.kinolights.com/title/118042,다큐멘터리,2023년 07월 10일,2부작,,모든 연령 시청가,한국,2022년,꼰대가 되는 것이 두려운 기자가 30년 전 실패한 '그 어른' 취재에 다시 도전한다. 나이 40에 사학재단을 설립하고는 고스란히 국가에 헌납한 사람. 평생 차도 없이 걸어다니고 버는 족족 남을 위해 퍼주면서도 절대 인터뷰는 하지 않는 미스테리한 한약방 주인. 부자는 부...,조명하는 분이 한없이 빛이나서 보는 내가 한없이 부끄러워지는 단점만이 있는 작품. | 시대의 어른이 삶으로 보여주는 공의. 그 경외. | 청빈하고 고고한 삶이 피워낸 이 한줄기 향기. 믿어지지 않을만큼 담백하다. | 이런 분이 존재한다는 게 놀랍고 사람이 얼마나 극과 극에 도달할 수 있는지 새삼스럽다 | 이 땅에 선생님같은 분이 더 있으리라 생각합니다. 또 더 만들어지리라 생각합니다. 나 또한 그리 살고자 애써 보겠습니다 | 이 시대의 참 어른. | 시대정신이 없는 이 세상에 참된 어른의 지표가 될 분이라 생각된다. | 스스로가 좋은 '이야기'인 사람과 그 이야기를 제대로 담아내는 사람이 만났을 때 | 왜소한 체격으로 딛는 짧은 발걸음도 이토록 커 보일 수 있다니 . . . . (이런 어른조차도 포기한 롯데는 대체.. 뭐하는 구단일까..) | 나의 상식으로는 감히 상상도 안되는 .. 이 시대의 진정한 어른 이야기에 몇번이나 감동했다,"김장하, 김주완, 문형배",,,,,,
42,이혼숙려캠프,140817,예능,https://m.kinolights.com/title/140817,리얼리티,2024년 08월 15일,,,15세 이상 시청가,한국,2024년,인생을 새로고침하기 위한 부부들의 이야기 <이혼숙려캠프>,비혼:결혼은미친짓이야. 미혼:이게결혼이라고? 기혼:우리는괜찮을지도? | 보면 화병날꺼 같은데 또 보게 되는 ... | 9기까진 잼있었으나 보다보니 오바하고 대본있는 것들이 보이는 듯,"서장훈, 박하선, 진태현",,,,,,
43,뉴토피아,126846,드라마,https://m.kinolights.com/title/126846,"액션, 판타지, 스릴러, 코미디, 멜로/로맨스, 서사/드라마",2025년 02월 07일,8부작,쿠팡플레이,19세 이상 시청가,한국,2025년,서울이 좀비 아포칼립스로 무너진다. 군인 재훈과 곰신 영주는 살아남기 위해 도심을 가로지르며 서로에게 의지한다. 하지만 도망치는 것만이 답이 아닐지도 모른다.,"진짜 지수 왜 연기하지...그것도 박정민 파트너로 하아... | 군대가 들어간 좀비물 재미 집니다 ㅎㅎㅎ | 실제로 보고 나니 예상보다 훨씬 재미있었어요. 일부 사람들은 애초에 주연 배우를 좋아하지 않아서 과하게 비판하는 것 같은 느낌이 드네요 | 지금까지 꽤 재미있어요. 의도적으로 과장된 코미디인 만큼, 오히려 지수의 연기가 잘 어울린다고 생각해요. 3화에서의 모습을 기대하고 있습니다 | 지수 연기 나쁘지 않고, 박정민은 연기 천재인듯 | 생각보다 재미있네요! | 미디어나 악의적인 편집 영상에 영향을 받지 않아서 다행이에요. 지금까지 나온 에피소드를 다 봤는데, 실제로 꽤 재미있었고 배우들의 연기도 코미디 장르에 잘 어울렸어요 | 가볍게 볼만한 작품, 좀비물인데 코미디여서 신선함 | 생각보다 훨씬 재미있었어요, 특히 2화와 4, 5화가 인상적이었어요. 개인적으로는 배우들의 연기에 특별한 문제가 있다고 생각하지 않았고, 오히려 코미디 드라마의 분위기에 맞추기 위 | 지수 연기 못하는건 팩트인데 드라마 보면서 거슬리지 않았음. 코미디가 다 그렇듯이 호불호 갈릴거 같은데, 난 취저 당함","박정민, 지수, 임성재, 김준한, 강영석, 빈찬욱, 홍서희, 김상흔, 김정진, 박광재, 저스틴 하비, 권승우, 임형국, 박강섭, 배제기, 강기둥",쿠팡플레이,,,,,
44,스타게이트,45758,영화,https://m.kinolights.com/title/45758,"액션, SF, 판타지, 어드벤처",,,,12세 이상 관람가,미국,1994년,"어느날, 이집트 사막의 한 가운데에서 신비한 원형의 인공물이 발견된다. 그 후, 고대 이집트의 피라미드 연구 전문가인 청년 학자 잭슨(Dr. Daniel Jackson: 제임스 스페이더 분)은 연구발표회를 갖지만 너무 급진전한 논리로 학계에서 인정을 받지 못한다. 그의...",어렸을때 보고 충격이었는데 다시 보니깐 재미있었음 | 내가 좋아하는 것 들만 다 모여있음 주관적 평가 불가 ;; 그냥 재밌게 볼 수 있음 ! | . | 소재는 좋은데... 완성도는 많이 떨어진다. | 미국은 국뽕에 취하면 할리우드로 가는가보다... 어릴때 볼땐 그저 재밌었지만 | 빛나는 상상력과 뛰어난 시각효과를 동시에 지닌 90년대 SF 영화의 숨은 보석 | 이것저것 성공사례를 저렴하게 짬뽕한 SF | 지구인이 무모한 건지... 무슨 일이 생길 줄 알고. | 난 그저그랬다. | 외계문명기원설의 오락액션화,"커트 러셀, 제임스 스페이더, 알렉시스 크루즈, 비브카 린드포스, 밀리 아비탈, 존 딜, 레온 리피, 카를로스 라추, 디몬 하운수, 에릭 아바리, 프렌치 스튜어트, 지아닌 로플러, 제이 데이비슨, 크리스토퍼 존 필즈",,1994년 12월 17일 개봉,121분,,Stargate,
45,지지고 볶는 여행,141447,예능,https://m.kinolights.com/title/141447,리얼리티,2025년 02월 28일,,ENA,15세 이상 시청가,한국,2025년,"지지고, 볶고, 속 끓이며 사는 것이 사랑과 인생이라는 콘셉트 아래, 세 쌍의 특별한 커플이 함께하는 단체 여행을 담아낸다.",나는솔로 애청자로서 익숙한사람들의 새로운 감정선을 시청자에게선사 즐겨 보고있읍니다,"신동, 경수진, 이세희",,,,,,
46,블랙 미러 시즌 7,142025,드라마,https://m.kinolights.com/title/142025,"SF, 판타지, 미스터리, 서사/드라마",2025년 04월 10일,,,19세 이상 시청가,영국,2025년,인간과 기술의 관계를 깊이 있게 파헤치는 시리즈. <The Guardian>으로부터 ‘삐딱한 선견지명을 보여주는 디스토피아 드라마’라는 호평을 받앗다.,"구XX 까는 내용을 넷플릭스 본진에서 볼줄이야. 1화 ""보통 사람들"" 3.5 2화 ""베트 누아르"" 3.0 3화 ""레버리 호텔"" 2.0 4화 ""장난감"" 3.0 5화 ""율로지.... | 끝까지 보기 힘들다.. 아이디어 고갈.. | 블랙 미러 시즌 7(Black Mirror Season 7) | 내가 아는 블랙미러로 돌아왔다. | '블랙미러'의 정신을 되찾은 시즌!",,,,,,,
47,언더커버 하이스쿨,135690,드라마,https://m.kinolights.com/title/135690,"액션, 코미디, 멜로/로맨스",2025년 02월 21일,12부작,MBC,15세 이상 시청가,한국,2024년,고종 황제의 사라진 금괴의 행방을 쫓기 위해 신분을 숨기고 고등학생으로 위장 잠입한 국정원 요원의 좌충우돌 N차 고딩 활약기를 그린 코믹 활극 드라마,"내용이 약간 뻔한감이 있지만.. 그래도 남주 얼굴이 개연성있기는 합니다. | 서강준 얼굴로 개연성을 만든다 | 그냥 그래요,, 유치가 없앴려고 하는데 나름 유치함 | 힌트는 힌트를 부르고, 자꾸만 꼬여져 가는 스토리는 내셔널 트레저를 닮았지만 훨씬 라이트하고 훨씬 친근하다. 적당한 긴장감에 여주와의 코믹도 부담스럽지 않다. 무난하게 재미있다. | 잊고 있었다 서강준의 미모를…….연기도 원래 이렇게 잘했었나 싶을정도로 모든걸 잊고있었다…… 아직은 흥미진진한 스토리 | 오 서강준얼굴이 다하네 연기는 말할것도 없이 잘하고 흥미진진합니다 내용이... | 서강준 얼굴이 잼있어서 그런가 보는재미가 있네요..^^ 보물섬도 나쁘지않은데 보물섬보단 더잼있는데 시청률은 좀딸리네요....강준이 공약대로 12% 꼭되길바람. | 서강준 얼굴이 개연성 | 서강준 액션 코믹 로맨스 연기 다 잘하고 극이 웃겨서 4회에 현웃 터짐ㅋㅋㅋ내 웃음버튼 | 만화 같은 판타지 드라마 였다.","서강준, 진기주, 김신록, 김민주, 윤가이, 김영아, 전배수, 조복래, 이서환, 박세현, 장성범, 이현소, 윤채빈, 김선민, 신준항, 정수현",,,,,,
48,마녀,64758,영화,https://m.kinolights.com/title/64758,"액션, 미스터리",,,,15세 이상 관람가,한국,2018년,"시설에서 수많은 이들이 죽은 의문의 사고. 그날 밤 홀로 탈출한 후 모든 기억을 잃고 살아온 고등학생 ‘자윤’ 앞에 의문의 인물들이 등장하기 시작하고, 자신이 기억하지 못하는 과거를 알고 있는 그들의 등장으로 자윤은 혼란에 휩싸이게 되는데...!","지옥에서 온 천사를 보았네 | 와~ 이반전 무엇. 이 액션 무엇. 엄지척 | 강력한 파워에 유치가 어느정도 많이 들어가 나름 소소한 영화 | 느리지만, 단호한. 박훈정의 자신감에 배팅한다. | 김다미 연기력이 너무 훌륭해서 영화관에서 놀랐던 기억…. | 박훈정감독님의 마녀 세계관의 시작. 엄청 센세이션했던 영화. 다미를 일약 스타덤으로 이끈 영화. 순수한 아기같은 얼굴로 힘과염력 모든게 갖춰진 최강캐릭터 등장의 서막을 알린 영화 | 김다미님 매력연기에 몰입되는 마녀... 계속 보아도 재밋어어ㅡ | 잔인하고 무서운 영화는 잘 못 봐서 낮은 평가. 연기는 참 좋았도 스토리도 나름 괜찮긴 했는데 내 스타일은 아닌 걸로. | 아직은 미생인 자윤의 이야기, 완생에 이르기 위한 그녀의 여정이 궁금해지는 첫 단추 | 뭔가 '이상한' 영화.","김다미, 조민수, 박희순, 최우식, 고민시, 김병옥, 최정우, 이주원, 오미희, 김하나, 정다은, 이시우, 백승철, 우민규, 현봉식",,2018년 06월 27일 개봉,126분,,,
